Question,,,,Answer,Answer 2,,,sub_a1
Who was president of the United States in the year that Citibank was founded?,,,,james madison,,,,1812
What rocket was the first spacecraft that ever approached Uranus launched on?,,,,Titan IIIE,,,,voyager 2
In what year was the company that was founded as Sound of Music added to the S&P 500?,,,,1999,,,,Best Buy
Who was the first African American mayor of the most populous city in the United States?,,,,David Dinkins,,,,New York
When did the last king from Britain's House of Hanover die?,,,,20 June 1837,,,,William IV
When did the president who set the precedent of a two term limit enter office?,,,,"April 30, 1789",,,,George Washington
When did the president who set the precedent of a two term limit leave office?,,,,"March 4, 1797",,,,George Washington
How many people died in the second most powerful earthquake ever recorded?,,,,131,,,,1964 Alaska Earthquake
Can people who have celiac eat camel meat?,,,,Yes,,,,no_ans
What was the final book written by the author of On the Origin of Species?,,,,The Formation of Vegetable Mould Through the Action of Worms,,,,Charles Darwin
When was the company that built the first steam locomotive to carry passengers on a public rail line founded?,,,,1823,,,,Robert Stephenson and Company
Which Theranos whistleblower is not related to a senior American government official?,,,,Erika Cheung,,,,no_ans
What is the fastest air-breathing manned aircraft mostly made out of?,,,,Titanium,,,,SR-71
Who built the fastest air-breathing manned aircraft?,,,,Lockheed Corporation,,,,SR-71
When was the author of The Population Bomb born?,,,,29-May-32,,,,Paul R. Ehrlich
When did the author of Annabel Lee enlist in the army?,,,,1827,,,,Edgar Allan Poe
What was the religion of the inventor of the Polio vaccine?,,,,Jewish,,,,Jonas Salk
Who was the second wife of the founder of CNN?,,,,Jane Shirley Smith,,,,Ted Turner
When did the first prime minister of the Russian Empire come into office?,,,,6-Nov-05,,,,Sergei Witte
What is the primary male hormone derived from?,,,,cholesterol,,,,no_ans
The Filipino statesman who established the government-in-exile during the outbreak of World War II was also the mayor of what city?,,,,Quezon City,,,,Manuel L. Quezon
Where was the person who shared the Nobel Prize in Physics in 1954 with Max Born born?,,,,"Oranienburg, Germany",,,,Walther Bothe
When was the person who shared the Nobel Prize in Physics in 1954 with Max Born born?,,,,"January 8, 1891",,,,Walther Bothe
What was the founding date of the university in which Plotonium was discovered?,,,,"March 23, 1868",,,,"University of California, Berkeley"
The material out of which the Great Sphinx of Giza is made of is mainly composed of what mineral?,,,,calcite,,,,Limestone
The husband of Lady Godiva was Earl of which Anglic kingdom?,,,,Mercia,,,,Leofric
The machine used to extract honey from honeycombs uses which physical force?,,,,Centrifugal Force,,,,Honey extractor
What is the third letter of the top level domain of the military?,,,,l,,,,mil
In what year was the government department where the internet originated at founded?,,,,1947,,,,Department of Defense
The main actor of Indiana Jones is a licensed what?,,,,pilot,,,,Harrison Ford
When was the person after which the Hubble Space Telescope is named after born?,,,,"November 20, 1889",,,,Edwin Hubble
When did the person who gave the Checkers speech die?,,,,22-Apr-94,,,,Richard Nixon
When was the philosopher that formulated the hard problem of consciousness born?,,,,20-Apr-66,,,,David Chalmers
What is the capital of the second largest state in the US by area?,,,,Austin,,,,Texas
What is the maximum airspeed (in km/h) of the third fastest bird?,,,,320 km/h,,,,Saker falcon
Who founded the city where the founder of geometry lived?,,,,Alexander the Great,,,,Euclid
What is the capital of the country where yoga originated?,,,,New Delhi,,,,India
The fourth largest city in Germany was originally called what?,,,,Colonia Claudia Ara Agrippinensium,,,,Cologne
When did Nirvana's second most selling studio album come out?,,,,13-Sep-93,,,,In Utero
What was the job of the father of the founder of psychoanalysis?,,,,wool merchant,,,,Sigmund Freud
How much protein in four boiled egg yolks?,,,,10.8,,,,2.7
What is the political party of the American president who entered into the Paris agreement?,,,,Democratic Party,,,,Obama
The most populous city in Punjab is how large (area wise)?,,,,310 square kilometers,,,,Ludhiana
What was the death toll of the second largest volcanic eruption in the 20th century?,,,,847,,,,Pinatubo
What was the death toll of the most intense Atlantic hurricane?,,,,52,,,,no_ans
Who was the head of NASA during Apollo 11?,,,,Thomas O. Paine,,,,no_ans
Who is the father of the father of George Washington?,,,,Lawrence Washington,,,,Augustine Washington
Who is the mother of the father of George Washington?,,,,Mildred Warner,Mildred Gale,,,Augustine Washington
Who is the father of the father of Barack Obama?,,,,Hussein Onyango Obama,,,,Barack Obama Sr.
Who is the mother of the father of Barack Obama?,,,,Habiba Akumu Nyanjango,,,,Barack Obama Sr.
Who was mayor of New York City when Fiorello H. La Guardia was born?,,,,William Russell Grace,,,,1882
Who was president of the U.S. when superconductivity was discovered?,,,,William Howard Taft,,,,1911
When was the person Russ Hanneman is based on born?,,,,31-Jul-58,,,,Mark Cuban
When was the first location of the world's largest coffeehouse chain opened?,,,,30-Mar-71,,,,Starbucks
Who directed the highest grossing film?,,,,James Cameroon,,,,Avatar
When was the longest bridge in the world opened?,,,,30-Jun-11,,,,Danyang-Kunshan Grand Bridge
Which company was responsible for the largest pharmaceutical settlement?,,,,GlaxoSmithKline,,,,no_ans
In what year was the tallest self-supporting tower completed?,,,,2012,,,,Tokyo Skytree Tower
In what year was the tallest fixed steel structure completed?,,,,1988,,,,Bullwinkle
In what year was the tallest lattice tower completed?,,,,2012,,,,Kyiv TV Tower
In what year was the current tallest wooden lattice tower completed?,,,,1935,,,,Gliwice Radio Tower
In what country is the second tallest statue in the world?,,,,China,,,,Spring Temple Buddha
When was the tallest ferris wheel in the world completed?,,,,2021,,,,Ain Dubai
In what year was the tallest lighthouse completed?,,,,1902,,,,Vierge
In what country is the world largest desalination plant?,,,,Saudi Arabia,,,,Rabigh 3
The most populous national capital city was established in what year?,,,,1045 BC,,,,Beijing
The third largest river (by discharge) in the world is in what countries?,,,,India and Bangladesh,,,,Congo (Zaire)
What is the highest elevation (in meters) of the second largest island in the world?,,,,"4,884 m",,,,New Guinea
What is the length of the second deepest river in the world?,,,,"6,300 km",,,,Yangtze
In what country is the third largest stadium in the world?,,,,United States,,,,Michigan Stadium
Who is the largest aircraft carrier in the world is named after?,,,,Gerald R. Ford,,,,USS Gerald R. Ford
In what year did the oldest cat ever recorded with the Cat of the Year award?,,,,1999,,,,Creme Puff
In what year was the country that is the third largest exporter of coffee founded?,,,,1810,,,,Colombia
Who was the commander for the space mission that had the first spacewalk?,,,,Pavel Belyayev,,,,1965
Who is the predecessor of the longest-reigning British monarch?,,,,"George VI
",,,,Queen Elizabeth II
"In 2016, who was the host of the longest running talk show?",,,,Jimmy Fallon,,,,The Tonight Show
"In 2016, who was the host of the longest running American game show?",,,,Drew Carey,,,,The Price is Right
